"index","city","full_city","image_url","lat","lng","page_url","state"
10,"Magdalena de Kino","Magdalena de Kino,Sonora","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/_sonora_destinos-principales_magdalena-de-kino_00.jpg?itok=Lh5ukUqM",30.6248514,-110.9714055,"https://www.visitmexico.com//es/destinos-principales/sonora/magdalena-de-kino","Sonora"
11,"Angangueo","Angangueo,Michoacán","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/michoacan_destinos-principales_angangueo_01_0.jpg?itok=0BkWB41_",19.6196444,-100.2835336,"https://www.visitmexico.com//es/destinos-principales/michoacan/angangueo","Michoacán"
12,"Cuitzeo del Porvenir","Cuitzeo del Porvenir,Michoacán","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/michoacan_destinos-principales_cuitzeo-del-porvenir_01.jpeg?itok=9z6mryAD",19.9694366,-101.1419185,"https://www.visitmexico.com//es/destinos-principales/michoacan/cuitzeo-del-porvenir","Michoacán"
13,"Jiquilpan","Jiquilpan,Michoacán","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/michoacan_destinos-principales_jiquilpan_01_0.jpg?itok=DUwBwm1J",19.994231,-102.7192577,"https://www.visitmexico.com//es/destinos-principales/michoacan/jiquilpan","Michoacán"
14,"Pátzcuaro","Pátzcuaro,Michoacán","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/michoacan_destinos-principales_patzcuaro_01_0.jpg?itok=Yy5VzGR4",19.5134546,-101.6091876,"https://www.visitmexico.com//es/destinos-principales/michoacan/patzcuaro","Michoacán"
15,"Santa Clara del Cobre","Santa Clara del Cobre,Michoacán","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/michoacan_destinos-principales_santa-clara-de-cobre_01_0.jpg?itok=f4pPOTbh",19.4064279,-101.6396979,"https://www.visitmexico.com//es/destinos-principales/michoacan/santa-clara-del-cobre","Michoacán"
16,"Tacámbaro","Tacámbaro,Michoacán","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/michoacan_destinos-principales_tacambaro_01_0.jpg?itok=dMos5oDJ",19.2343775,-101.4576663,"https://www.visitmexico.com//es/destinos-principales/michoacan/tacambaro","Michoacán"
17,"Tlalpujahua","Tlalpujahua,Michoacán","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/michoacan_destinos-principales_tlalpujahua_01_0.jpg?itok=SjN9wAE3",19.8055547,-100.1734224,"https://www.visitmexico.com//es/destinos-principales/michoacan/tlalpujahua","Michoacán"
18,"Tzintzuntzan","Tzintzuntzan,Michoacán","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/michoacan_destinos-principales_tzintzuntzan_01_0.jpg?itok=4HeeHK9P",19.6287856,-101.57769,"https://www.visitmexico.com//es/destinos-principales/michoacan/tzintzuntzan","Michoacán"
19,"Arteaga","Arteaga,Coahuila","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/coahuila_destinos-principales_arteaga_01_0.jpg?itok=feTEvKuj",25.4546718,-100.850791,"https://www.visitmexico.com//es/destinos-principales/coahuila/arteaga","Coahuila"
20,"Candela","Candela,Coahuila","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/2017/01/coahuila_destinos-principales_candela_int.jpg?itok=GKHvzcDm",26.8388667,-100.6658581,"https://www.visitmexico.com//es/destinos-principales/coahuila/candela","Coahuila"
21,"Cuatro Ciénegas","Cuatro Ciénegas,Coahuila","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/2017/01/coahuila_destinos-principales_cuatro-cienegas_int.jpg?itok=XHYET-tJ",26.9868149,-102.066403,"https://www.visitmexico.com//es/destinos-principales/coahuila/cuatro-cienegas","Coahuila"
22,"Guerrero","Guerrero,Coahuila","https://www.visitmexico.com/https://www.visitmexico.com/sites/default/files/styles/vertical/public/field/image/coauhila_cultura_pueblos_magicos_guerrrero_1.jpg?itok=H_2flkKP",28.3089889,-100.3807826,"https://www.visitmexico.com//es/destinos-principales/coahuila/guerrero","Coahuila"
